Date,SPY,XLF,BKX
2005-01-03,81.38373565673828,16.142345428466797,103.52999877929688
2005-01-04,80.38923645019531,15.98845100402832,102.5199966430664
2005-01-05,79.83452606201172,15.96192741394043,102.25
2005-01-06,80.24044036865234,16.04151725769043,102.68000030517578
2005-01-07,80.12537384033203,15.956611633300781,102.08999633789062
2005-01-10,80.50422668457031,15.97253704071045,102.13999938964844
2005-01-11,79.94955444335938,15.903549194335938,101.72000122070312
2005-01-12,80.2133560180664,15.882320404052734,101.12000274658203
2005-01-13,79.5707015991211,15.728428840637207,99.94000244140625
2005-01-14,79.99012756347656,15.781505584716797,100.12000274658203
2005-01-18,80.82222747802734,16.030912399291992,101.86000061035156
2005-01-19,79.97661590576172,15.871716499328613,100.8499984741211
2005-01-20,79.48951721191406,15.754972457885742,100.55999755859375
2005-01-21,79.00243377685547,15.675378799438477,100.08999633789062
2005-01-24,78.8468246459961,15.680680274963379,100.19000244140625
2005-01-25,79.07006072998047,15.691293716430664,100.19999694824219
2005-01-26,79.30683135986328,15.76557731628418,100.48999786376953
2005-01-27,79.4421615600586,15.685994148254395,100.06999969482422
2005-01-28,79.4421615600586,15.664762496948242,99.75
2005-01-31,79.9360122680664,15.850484848022461,101.08000183105469
2005-02-01,80.44337463378906,16.020292282104492,102.08999633789062
2005-02-02,80.68690490722656,16.020292282104492,101.98999786376953
2005-02-03,80.47720336914062,15.946003913879395,102.68000030517578
2005-02-04,81.33637237548828,16.13703727722168,103.63999938964844
2005-02-07,81.22811889648438,16.152965545654297,103.73999786376953
2005-02-08,81.32284545898438,16.089279174804688,103.44999694824219
2005-02-09,80.71395874023438,16.046831130981445,102.63999938964844
2005-02-10,81.0048828125,16.094589233398438,102.62999725341797
2005-02-11,81.70167541503906,16.221946716308594,102.93000030517578
2005-02-14,81.64078521728516,16.195411682128906,102.97000122070312
2005-02-15,81.9452133178711,16.23255729675293,103.11000061035156
2005-02-16,81.99933624267578,16.12112045288086,102.5199966430664
2005-02-17,81.33637237548828,15.97784423828125,101.58999633789062
2005-02-18,81.44461059570312,15.808037757873535,100.62000274658203
2005-02-22,80.23368072509766,15.57455062866211,99.19999694824219
2005-02-23,80.80868530273438,15.717835426330566,100.26000213623047
2005-02-24,81.34314727783203,15.739048957824707,100.62999725341797
2005-02-25,82.14820861816406,15.898240089416504,101.31999969482422
2005-02-28,81.60699462890625,15.744357109069824,100.61000061035156
2005-03-01,82.01290130615234,15.898240089416504,101.45999908447266
2005-03-02,81.97229766845703,15.850484848022461,101.16999816894531
2005-03-03,82.0060806274414,15.823957443237305,100.87000274658203
2005-03-04,83.02767181396484,16.025592803955078,102.18000030517578
2005-03-07,83.06820678710938,16.025592803955078,102.23999786376953
2005-03-08,82.75703430175781,15.999064445495605,101.87999725341797
2005-03-09,81.83696746826172,15.802734375,100.4000015258789
2005-03-10,82.01964569091797,15.892929077148438,100.80999755859375
2005-03-11,81.44461059570312,15.754972457885742,100.05000305175781
