Date,SPY,XLF,BKX
2005-01-04,1.5117079128232498,0.9176338456400018,0.9610949918486474
2005-01-05,0.47944876895259203,0.027565939151862333,0.06954158378415862
2005-01-06,0.25720756102459624,0.24739085097078625,0.17611149843661808
2005-01-07,0.020593709088540708,0.2816344537737104,0.33207762358773457
2005-01-10,0.22251103172448494,0.009950994541093236,0.002397805619517156
2005-01-11,0.4780093632370739,0.18735985280462022,0.1697821277409009
2005-01-12,0.10851546600542239,0.0178419541577663,0.3499899677355539
2005-01-13,0.6470722570620981,0.9480405150342271,1.3777893531353
2005-01-14,0.2763885493444968,0.1134943812988354,0.03238069433773775
2005-01-18,1.0709763336612048,2.4586746228425995,2.9686716078530857
2005-01-19,1.1062263337845324,0.9960428302013856,0.9930278310329117
2005-01-20,0.3732155208792884,0.5450369289868213,0.08292725457559434
2005-01-21,0.37779397122196884,0.2565194576638984,0.2194730757561034
2005-01-24,0.03887275622917051,0.0011434326081370856,0.009973277799246016
2005-01-25,0.07993412428632436,0.004578137057194022,9.950173255531126e-05
2005-01-26,0.08939900079928932,0.2230573025938919,0.08352334719519203
2005-01-27,0.02906883940168558,0.2561059053605692,0.17541528109870294
2005-01-28,0.0,0.018345587168781607,0.10258454917274416
2005-01-31,0.3840576675430351,1.3891749776233515,1.7543651153185935
2005-02-01,0.40031539344190126,1.1355239609649723,0.9885212656878265
2005-02-02,0.09137181344699857,0.0,0.009603862655537308
2005-02-03,0.06772157565136451,0.2160322328867436,0.4546279848682945
2005-02-04,1.1277048485579868,1.418200527890041,0.8660146532271222
2005-02-07,0.017737502348190787,0.009733320585956846,0.009300645176016087
2005-02-08,0.01358390214001324,0.1560643054392754,0.07836492772845761
2005-02-09,0.5648195801933986,0.0697893638523176,0.6178998083722078
2005-02-10,0.12944908979351158,0.08831299756430096,9.497177881673709e-05
2005-02-11,0.733604940017049,0.6212463042804217,0.08519904866456683
2005-02-14,0.005558487244073197,0.026800583101552124,0.0015096878694076338
2005-02-15,0.1385282064749824,0.052485092978424845,0.01846038314130462
2005-02-16,0.004359418600382718,0.4745409791732287,0.32930573888478637
2005-02-17,0.6589951184851742,0.7969515274437334,0.8304311830244231
2005-02-18,0.017685366767790058,1.1415849684099513,0.920447725984017
2005-02-22,2.2439377063881074,2.214238449468672,2.02011894163795
2005-02-23,0.5099481277101674,0.8386657980763613,1.129724441409396
2005-02-24,0.4345632925488723,0.0181909197076482,0.1356864012563738
2005-02-25,0.9699187713384673,1.0127599925856359,0.4669570365544676
2005-02-28,0.43692909425664905,0.9460275219797469,0.4945127076366645
2005-03-01,0.2461738626972501,0.9460275219797465,0.7077790848925224
2005-03-02,0.002452339507120707,0.0905003292592796,0.08193167718777461
2005-03-03,0.0016977830810396186,0.0280563886950866,0.08818915102287009
2005-03-04,1.5327799536189939,1.6032394137653712,1.6649723074402558
2005-03-07,0.002382330853252282,0.0,0.003445723408020014
2005-03-08,0.140851706573887,0.027448079557449656,0.12442173914392818
2005-03-09,1.2499129879182298,1.5245486915123505,2.1413641594839152
2005-03-10,0.049717119471040815,0.32391025623186986,0.16608154793804117
2005-03-11,0.49500167747106444,0.7600825143307386,0.5726616806933883
2005-03-14,0.3856793261416063,0.2888634952223045,0.6990158605433591
2005-03-15,0.6871653464017196,0.4519554682141257,0.6659980434513613
2005-03-16,0.7268649833916274,1.034218589451319,0.8162051559664701
2005-03-17,0.04053035066964394,0.0745051950760075,0.5458668742306928
2005-03-18,0.08845569483004066,0.24926204786820827,0.09948650202852344
2005-03-21,0.13831444507825463,0.8127941849106742,0.8489340801672741
2005-03-22,1.0429420320432796,3.471796014141294,3.1483980692457854
2005-03-23,0.007314775148792755,0.045247291730692044,0.01849864770141741
2005-03-24,0.01428785469906648,0.2470031034694608,0.13438596670352385
2005-03-28,0.02103842681943974,0.5029554129327555,0.18429281979576823
2005-03-29,0.44504217973050453,0.1252776767974671,0.3201330119227833
2005-03-30,1.9769293982548186,1.5215290454781345,1.7573033236312663
2005-03-31,0.03473931201892227,0.3158604611331003,0.012995130293099661
2005-04-01,0.20274910644193214,1.913415540433712,0.5447833914495273
