experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,RandomForest,1384,8.96013599182149,2.455576458836809,3.1115849667492506,2.6034217390625787,0.6507195037949491,12,17,1
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,GradientBoosting,1384,8.95297469498515,2.459907647047897,3.2068950334401327,2.6034217390625787,0.6248727203970242,13,15,2
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,XGBoost,1384,8.956906383875426,2.4699032433690467,19785.73885771255,2.6034217390625787,0.6014209879513891,14,16,4
ML_Strict_PreCrisis,overall,ML,pooled,ALL,SPY,overall,XGBoost,1384,8.792041810224822,2.478476759858878,105704.75107760297,2.6034217390625787,0.947692080722826,15,10,7
ML_Strict_PreCrisis,overall,ML,pooled,ALL,SPY,overall,GradientBoosting,1384,8.865776635993317,2.470893195233751,468158.8555718888,2.6034217390625787,0.8146300962290007,16,13,5
ML_Rolling,overall,ML,asset_specific_rolling,SPY,SPY,overall,LightGBM,1384,8.36025682362588,2.9498831783782395,1390099.4782920503,2.6034217390625787,2.658195164734057,17,9,19
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,LightGBM,1384,8.975544341707318,2.473009575107747,3291725.3823913205,2.6034217390625787,0.5797330853556074,18,18,6
ML_Strict_PreCrisis,overall,ML,pooled,ALL,SPY,overall,LightGBM,1384,8.926328668955609,2.501574880529148,18725344.327338412,2.6034217390625787,0.7197242600977479,19,14,8
ML_Rolling,overall,ML,asset_specific_rolling,SPY,SPY,overall,Ridge,1384,8.847065883847213,3.1786211300993004,29569465.28640362,2.6034217390625787,3.087975080650311,20,12,21
ML_Strict_PreCrisis,overall,ML,pooled,ALL,SPY,overall,Ridge,1384,9.09487742778626,2.544097719349492,173309264.90278274,2.6034217390625787,0.3904958078302688,21,20,10
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,Ridge,1384,9.043802732788496,2.5058654709026382,185911578.43495363,2.6034217390625787,0.282237151113289,22,19,9
GARCH_Rolling,overall,GARCH,asset_specific_rolling,XLF,XLF,overall,GJR_GARCH_11,1384,22.74647211762228,8.88745270628855,1.6301234062118135,8.51254702495501,8.768922441502088,1,1,11
GARCH_Rolling,overall,GARCH,asset_specific_rolling,XLF,XLF,overall,GARCH_11,1384,23.010623230842565,9.001903880203619,1.6634043752401786,8.51254702495501,8.800162553400083,2,4,16
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,RandomForest,1384,22.86634838470604,9.20039969094182,1.674276746649235,8.51254702495501,9.08497937946282,3,2,17
GARCH_Rolling,overall,Benchmark,asset_specific_rolling,XLF,XLF,overall,Naive_Rolling22,1384,23.139536823444537,8.924043838978346,1.711761439984142,8.51254702495501,8.513976648351564,4,6,12
ML_Rolling,overall,Benchmark,asset_specific_rolling,XLF,XLF,overall,Naive_Rolling22,1384,23.139536823444537,8.924043838978346,1.7117614399841428,8.51254702495501,8.513976648351564,5,6,12
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,XGBoost,1384,22.909737263220073,9.438643881303795,1.7281371825846183,8.51254702495501,9.372326856317548,6,3,19
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,XLF,XLF,overall,Naive_Rolling22,1384,23.139536823444537,8.924043838978346,2.498891334393712,8.51254702495501,8.513976648351564,7,6,12
ML_Strict_PreCrisis,overall,Benchmark,pooled,ALL,XLF,overall,Naive_Rolling22,1384,23.139536823444537,8.924043838978346,2.498891334393712,8.51254702495501,8.513976648351564,7,6,12
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,RandomForest,1384,26.526462502732347,8.070817951879086,6.693621154370484,8.51254702495501,1.1209652112129846,9,15,2
ML_Strict_PreCrisis,overall,ML,pooled,ALL,XLF,overall,RandomForest,1384,26.50861980490685,8.069795926174132,6.948640383594061,8.51254702495501,1.1147468786100272,10,14,1
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,GradientBoosting,1384,23.03457243197341,9.321590046884255,24582.29370836882,8.51254702495501,8.974575590227696,11,5,18
ML_Strict_PreCrisis,overall,ML,pooled,ALL,XLF,overall,GradientBoosting,1384,26.56005535758189,8.113103273567514,72831.60220659534,8.51254702495501,0.9972186886935296,12,17,4
ML_Strict_PreCrisis,overall,ML,pooled,ALL,XLF,overall,XGBoost,1384,26.460264486712557,8.07603661892865,810996.9736553336,8.51254702495501,1.2115067812197098,13,12,3
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,LightGBM,1384,23.88833237516607,9.72177186982582,3177671.9871025314,8.51254702495501,9.073237409009767,14,10,20
GARCH_Rolling,overall,GARCH,asset_specific_rolling,XLF,XLF,overall,EGARCH_11,1384,inf,inf,5681962.222087717,8.51254702495501,inf,15,22,22
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,XGBoost,1384,26.47207273819094,8.150518684018865,23777318.76407329,8.51254702495501,1.1199637976631915,16,13,5
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,GradientBoosting,1384,26.548463416994597,8.191681678694318,55891210.93155626,8.51254702495501,1.0433958901914653,17,16,7
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,LightGBM,1384,26.613766994114545,8.182831998795116,58611921.8047932,8.51254702495501,0.8884564302659975,18,18,6
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,Ridge,1384,25.070560413209503,9.99790963484825,105757258.06359813,8.51254702495501,8.892103516155073,19,11,21
ML_Strict_PreCrisis,overall,ML,pooled,ALL,XLF,overall,LightGBM,1384,26.665028813254228,8.20264589512607,105827055.6860614,8.51254702495501,0.8229468855502448,20,19,8
ML_Strict_PreCrisis,overall,ML,pooled,ALL,XLF,overall,Ridge,1384,26.902074343393817,8.466966039006866,769986377.8396404,8.51254702495501,0.2447365055656577,21,20,9
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,Ridge,1384,26.915606051040196,8.48625421083327,799649954.352725,8.51254702495501,0.1913387748538612,22,21,10
