experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,GradientBoosting,1384,32.08798620514904,9.70231089752794,2913407.9402317996,10.083078202879316,1.0326702073060552
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,LightGBM,1384,32.28035306488099,9.89398904611278,223022024.10991,10.083078202879316,0.528526369018635
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,KBE,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,2.699102703769853,10.083078202879316,10.083109316787183
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,RandomForest,1384,32.01749139167915,9.60840698971859,8.794368491814092,10.083078202879316,1.0625125454145574
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,Ridge,1384,31.824661855871348,10.251610112812514,666166540.6950388,10.083078202879316,2.074709582892931
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,XGBoost,1384,31.9822102601636,9.664682352971017,25752880.86273174,10.083078202879316,1.2651292764809596
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,GradientBoosting,1384,8.95297469498515,2.459907647047897,3.2068950334401327,2.6034217390625787,0.6248727203970242
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,LightGBM,1384,8.975544341707318,2.473009575107747,3291725.3823913205,2.6034217390625787,0.5797330853556074
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,SPY,SPY,overall,Naive_Rolling22,1384,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6034217390625787,2.6061125362364432
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,RandomForest,1384,8.96013599182149,2.455576458836809,3.1115849667492506,2.6034217390625787,0.6507195037949491
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,Ridge,1384,9.043802732788496,2.5058654709026382,185911578.43495363,2.6034217390625787,0.282237151113289
ML_Strict_PreCrisis,overall,ML,asset_specific,SPY,SPY,overall,XGBoost,1384,8.956906383875426,2.4699032433690467,19785.73885771255,2.6034217390625787,0.6014209879513891
ML_Strict_PreCrisis,overall,ML,asset_specific,XLF,XLF,overall,GradientBoosting,1384,26.548463416994597,8.191681678694318,55891210.93155626,8.51254702495501,1.0433958901914653
