experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,post_crisis,RandomForest,880,7.894608793608206,3.23163192293985,3.2771116283411494,3.5512013637405553,1.059132492858199,11,13,1
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,post_crisis,RandomForest,880,7.937938166562801,3.248001047230652,3.4177019220612097,3.5512013637405553,0.983173122091606,12,15,2
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,post_crisis,GradientBoosting,880,7.921532947766482,3.274998429753025,560239.5582730325,3.5512013637405553,0.9467410393643476,13,14,4
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,post_crisis,XGBoost,880,7.824707918727212,3.27482232266854,608760.0888411074,3.5512013637405553,1.178928268557938,14,11,3
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,post_crisis,LightGBM,880,7.591916770362909,4.2218068520542,1482166.2275107189,3.5512013637405553,4.59621119923467,15,9,19
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,post_crisis,GradientBoosting,880,7.969796781741558,3.3080152207709053,1974634.7352975584,3.5512013637405553,1.0339510001770214,16,16,5
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,post_crisis,XGBoost,880,7.888733144492609,3.32007670644207,3212942.994165056,3.5512013637405553,1.2133542648319475,17,12,7
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,post_crisis,LightGBM,880,8.002206802011111,3.308571728554622,27371761.69838484,3.5512013637405553,0.8422806851448518,18,17,6
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,post_crisis,LightGBM,880,8.179849697284325,3.395134354323631,64672086.44285099,3.5512013637405553,0.5852213478125818,19,18,8
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,post_crisis,Ridge,880,8.698490146202948,4.556174771630349,87072624.79199545,3.5512013637405553,4.039388396383914,20,22,21
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,post_crisis,Ridge,880,8.247521743566242,3.7129134807568938,134197070.99068151,3.5512013637405553,1.679003221451948,21,19,14
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,post_crisis,Ridge,880,8.274729200351928,3.5082736658608216,279786495.9204211,3.5512013637405553,0.2608777969497513,22,20,9
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,crisis,GJR_GARCH_11,504,12.25488953469826,4.978128691673995,1.5097234856389636,4.861622112693699,5.039608311701623,1,1,11
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,crisis,GARCH_11,504,12.597203828935038,5.07051623442188,1.5479318715922552,4.861622112693699,4.883375704641742,2,2,12
GARCH_Rolling,by_period,Benchmark,asset_specific_rolling,SPY,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,1.5946898248065895,4.861622112693699,4.846290414297169,3,3,13
ML_Rolling,by_period,Benchmark,asset_specific_rolling,SPY,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,1.5946898248065926,4.861622112693699,4.846290414297171,4,3,13
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,crisis,RandomForest,504,12.819841074213322,5.251084297570342,1.599904788023906,4.861622112693699,5.032066620003994,5,7,18
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,crisis,XGBoost,504,15.876672557801957,5.734304141195798,1.6902013283747488,4.861622112693699,5.0032605149797975,6,21,20
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,crisis,GradientBoosting,504,13.143916977022768,5.1870426569044,1.8184573244819628,4.861622112693699,4.47574199150023,7,8,17
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,SPY,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,2.1795255364942627,4.861622112693699,4.846290414297171,8,3,13
ML_Strict_PreCrisis,by_period,Benchmark,pooled,ALL,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,2.1795255364942627,4.861622112693699,4.846290414297171,8,3,13
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,crisis,RandomForest,504,14.139080894141491,4.55212596650505,4.015687854918452,4.861622112693699,1.0960529353754012,10,12,1
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,crisis,EGARCH_11,504,inf,inf,4.990891806640933,4.861622112693699,inf,11,22,22
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,crisis,RandomForest,504,14.299692747295904,4.57378343647974,5.957707776547709,4.861622112693699,0.7321925380525878,12,17,2
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,crisis,GradientBoosting,504,14.283230808384628,4.58426492431762,6.056948081794019,4.861622112693699,0.7150875826561133,13,15,4
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,crisis,XGBoost,504,14.288449648860723,4.607647308033608,7.982715127837282,4.861622112693699,0.6744054210268788,14,16,7
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,crisis,XGBoost,504,14.052843256739418,4.580419965320119,237588.15931796184,4.861622112693699,1.1890371936208488,15,11,3
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,crisis,GradientBoosting,504,14.165342855945834,4.585830132512891,1248188.3327734356,4.861622112693699,0.9638336884157768,16,13,5
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,crisis,LightGBM,504,13.316380170516672,5.34009003299167,2399780.1121044406,4.861622112693699,4.5487226703021895,17,9,19
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,crisis,LightGBM,504,14.31749642497145,4.607071747751399,7575120.386527304,4.861622112693699,0.6408909377850023,18,18,6
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,crisis,LightGBM,504,14.250846566867784,4.65021955622164,35507288.09263347,4.861622112693699,0.8158298413772109,19,14,8
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,crisis,Ridge,504,13.943071355061646,5.765071761382852,44975473.74683968,4.861622112693699,5.675275075274593,20,10,21
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,crisis,Ridge,504,14.50512900776706,4.7657954635080815,393080173.6048984,4.861622112693699,0.323119672802048,21,20,10
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,crisis,Ridge,504,14.416887531622791,4.693273091615961,393709869.3970064,4.861622112693699,0.3050290036169436,22,19,9
