Asset,scope,model,feature,importance,importance_window_end
KBE,asset_specific_rolling,RandomForest,abs_return_lag_2,0.007075321692778134,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_volatility_5d,0.006892952347709617,2012-12-27
KBE,asset_specific_rolling,RandomForest,abs_return_t,0.006875616362672188,2012-12-27
KBE,asset_specific_rolling,RandomForest,negative_squared_return_t,0.0063313450892243574,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_abs_return_66d,0.006167191051439302,2012-12-27
KBE,asset_specific_rolling,RandomForest,abs_return_lag_3,0.005830927612422622,2012-12-27
KBE,asset_specific_rolling,RandomForest,squared_return_lag_5,0.005119493988919005,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_sum_squared_return_5d,0.00492558726456369,2012-12-27
KBE,asset_specific_rolling,RandomForest,squared_return_lag_3,0.004900878501960601,2012-12-27
KBE,asset_specific_rolling,RandomForest,squared_return_t,0.004889002042068611,2012-12-27
KBE,asset_specific_rolling,RandomForest,squared_return_lag_2,0.004247163530780492,2012-12-27
KBE,asset_specific_rolling,RandomForest,squared_return_lag_10,0.00414349653470668,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_mean_squared_return_5d,0.0025717557700771945,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_sum_squared_return_66d,0.0016240131930097428,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_negative_share_5d,0.0015849320650685886,2012-12-27
KBE,asset_specific_rolling,RandomForest,negative_return_dummy_t,0.0,2012-12-27
KBE,asset_specific_rolling,RandomForest,crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,RandomForest,post_crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,RandomForest,negative_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,RandomForest,negative_squared_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_negative_share_22d,0.37955830374642324,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_66d,0.15119455243661611,2012-12-27
