scope,Asset,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
asset_specific_rolling,KBE,GradientBoosting,1384,28.3296960322822,11.016462087602537,3855852.054598152,10.083078202879316,9.932614788885568
asset_specific_rolling,KBE,LightGBM,1384,28.492684698317348,10.921537814068374,25683212.88597264,10.083078202879316,9.618947509593058
asset_specific_rolling,KBE,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,1.5863593827697207,10.083078202879316,10.083109316787183
asset_specific_rolling,KBE,RandomForest,1384,27.945441927064465,10.647220871809004,1.5614014108485725,10.083078202879316,10.027022055299142
asset_specific_rolling,KBE,Ridge,1384,30.35862345855397,12.072351741112179,90975100.91762897,10.083078202879316,11.019918510471582
asset_specific_rolling,KBE,XGBoost,1384,28.93280706170615,11.40979599126119,1402673.1916230212,10.083078202879316,10.888531882565351
asset_specific_rolling,SPY,GradientBoosting,1384,8.265768593961006,2.944321417388471,1.7986045583089703,2.6034217390625787,2.7211836637919076
asset_specific_rolling,SPY,LightGBM,1384,8.36025682362588,2.9498831783782395,1390099.4782920505,2.6034217390625787,2.658195164734057
asset_specific_rolling,SPY,Naive_Rolling22,1384,8.031967008592336,2.7764613332944097,1.7006174802680645,2.6034217390625787,2.6061125362364432
asset_specific_rolling,SPY,RandomForest,1384,8.060456263870613,2.870882254198193,1.6431405260327314,2.6034217390625787,2.8099871135605623
asset_specific_rolling,SPY,Ridge,1384,8.847065883847213,3.1786211300993004,29569465.28640362,2.6034217390625787,3.087975080650311
asset_specific_rolling,SPY,XGBoost,1384,9.87126903471376,3.1100632403876367,1.7170244855417243,2.6034217390625787,2.874278331530749
asset_specific_rolling,XLF,GradientBoosting,1384,23.03457243197341,9.321590046884257,24582.29370836882,8.51254702495501,8.974575590227696
asset_specific_rolling,XLF,LightGBM,1384,23.88833237516607,9.721771869825819,3177671.9871025314,8.51254702495501,9.073237409009767
asset_specific_rolling,XLF,Naive_Rolling22,1384,23.139536823444534,8.924043838978346,1.7117614399841428,8.51254702495501,8.513976648351564
asset_specific_rolling,XLF,RandomForest,1384,22.86634838470604,9.20039969094182,1.674276746649235,8.51254702495501,9.08497937946282
asset_specific_rolling,XLF,Ridge,1384,25.070560413209503,9.99790963484825,105757258.06359813,8.51254702495501,8.892103516155073
asset_specific_rolling,XLF,XGBoost,1384,22.909737263220073,9.438643881303797,1.7281371825846183,8.51254702495501,9.372326856317548
