Asset,Ann. Vol (%),Skewness,Excess Kurtosis,ADF p-val,JB p-val,LB p-val (Lag 10),LB^2 p-val (Lag 10),ARCH-LM p-val
SPY,22.051078429238775,-0.05297525078930963,12.656049896672373,5.534303669378027e-16,0.0,1.363329327672568e-06,0.0,1.816096086373616e-120
XLF,39.058010725387504,-0.03849133795821491,10.67992845717809,2.3742178317920215e-12,0.0,5.482969118260698e-09,0.0,1.4926799261908493e-94
BKX,44.33601137267726,-0.11968750071895995,12.787945558610858,1.3202086034714078e-13,0.0,1.3765829522241841e-11,2.01640706099017e-251,6.622588633831479e-83
