Asset,Period,n_obs,adf_stat,adf_pvalue,adf_used_lag,adf_interpretation,kpss_stat,kpss_pvalue,kpss_used_lag,kpss_interpretation,jb_stat,jb_pvalue,normality_interpretation,lb_return_pvalue_lag_10,lb_squared_return_pvalue_lag_10,lb_return_pvalue_lag_20,lb_squared_return_pvalue_lag_20,arch_lm_pvalue_lag_10,volatility_clustering_flag
KBE,pre_crisis,406,-21.387072040324718,0.0,0,stationary,0.07751707683275527,0.1,3,stationary,85.71176669027926,2.4430161958528874e-19,non_normal,0.2789158839712753,0.0035001938983877253,0.21519814324754838,0.0394483880159185,0.012866115321912005,yes
KBE,crisis,504,-11.366180076330982,9.214845110922022e-21,5,stationary,0.061747778469828374,0.1,8,stationary,191.4951757822068,2.6142729143937153e-42,non_normal,0.0318603761959932,4.78567778475582e-23,0.04273443912860065,2.4577013725412803e-33,1.5535656096156984e-09,yes
KBE,post_crisis,881,-14.566890877751273,4.6962040607950115e-27,4,stationary,0.09814475322201732,0.1,1,stationary,261.1631816359266,1.9459678891895038e-57,non_normal,0.00016888578509109562,1.03240324785305e-63,0.0005020553928196866,1.0482762421842316e-79,5.969297552338057e-30,yes
SPY,pre_crisis,406,-9.246271931188346,1.534420952659777e-15,7,stationary,0.04948335564234628,0.1,4,stationary,285.24116426789345,1.1499214453883926e-62,non_normal,0.009157907298242927,0.017792343210102996,0.09894949940836666,0.15195457983523925,0.047819001395595306,yes
SPY,crisis,504,-19.959156506714326,0.0,1,stationary,0.09883014810269854,0.1,5,stationary,762.0392369743499,3.3518316239397665e-166,non_normal,0.0013879066471217333,8.255580171917704e-56,8.935362050884782e-05,4.475144294506849e-86,3.599382777896587e-23,yes
SPY,post_crisis,881,-14.814047786065002,2.0098961082993732e-27,4,stationary,0.07903363997684097,0.1,3,stationary,430.1831033599716,3.8630115031439803e-94,non_normal,0.005153146187480509,4.7488652410108924e-79,0.03976685834704853,7.049522628562528e-88,2.020964675921992e-35,yes
XLF,pre_crisis,406,-10.466655587879261,1.3163815317751325e-18,4,stationary,0.05375232346297806,0.1,3,stationary,264.72174283148604,3.2840058662848705e-58,non_normal,0.028811027316017052,0.0006573261222431432,0.06915660492467121,0.013603672897212872,0.003938438923263149,yes
XLF,crisis,504,-25.258518641944296,0.0,0,stationary,0.08259168373782902,0.1,6,stationary,152.98257064182974,6.029160864158453e-34,non_normal,0.08551579401171758,3.6401863079193086e-31,0.07596231482609875,7.1526259619678e-45,9.948060942156125e-12,yes
XLF,post_crisis,881,-13.802982650910694,8.503377242058356e-26,5,stationary,0.07368092024439019,0.1,2,stationary,335.16357814402977,1.6601744987131145e-73,non_normal,6.85289858036658e-06,1.100646937221983e-67,2.2657237425969354e-05,6.460511243328571e-82,3.017530563981288e-32,yes
