Asset,n_obs,annualized_vol,skewness,kurtosis_excess,adf_pvalue,jb_pvalue,lb_squared_pvalue_lag10,Volatility_Clustering_Present
KBE,1791,44.70029397391003,-0.007723992638053487,9.942413548231293,2.092987623945639e-12,0.0,1.3099042125543754e-218,Yes
SPY,1791,23.067413883133785,-0.050149150878272195,11.669260851327683,1.0978096526789388e-14,0.0,1.8801303547737525e-282,Yes
XLF,1791,41.167881203276586,-0.032013757836410056,9.446702472065606,2.0801292984563113e-12,0.0,9.26481234008933e-269,Yes
