Asset,Period,n_obs,annualized_vol,skewness,kurtosis_excess
KBE,pre_crisis,406,12.176965088416535,-0.028433184194710585,2.2931062439840773
KBE,crisis,504,73.58884660547993,0.13362423127885756,3.0500149491474406
KBE,post_crisis,881,29.910470536141094,-0.33983954229342034,2.601106668309603
SPY,pre_crisis,406,10.429290605167743,-0.681325836830006,3.9384407294422816
SPY,crisis,504,35.0130054046119,0.18315016504329337,6.08491665594309
SPY,post_crisis,881,18.149421041427473,-0.44140817331638804,3.333597405158371
XLF,pre_crisis,406,12.642245399208822,-0.4816246409808631,3.9002620138467883
XLF,crisis,504,68.01091734433625,0.11719439490173804,2.727784172583121
XLF,post_crisis,881,26.899479251277448,-0.2728281633582215,2.995936572352308
