Date,Asset,Period,Model,Standardized_Residuals
2006-04-10,SPY,full_sample,GARCH_11,0.10064390578300501
2006-04-11,SPY,full_sample,GARCH_11,-1.5409612193346212
2006-04-12,SPY,full_sample,GARCH_11,0.14494616613622954
2006-04-13,SPY,full_sample,GARCH_11,-0.34895974192947404
2006-04-17,SPY,full_sample,GARCH_11,-0.20921395639816684
2006-04-18,SPY,full_sample,GARCH_11,2.4782562848193264
2006-04-19,SPY,full_sample,GARCH_11,0.13488260608137687
2006-04-20,SPY,full_sample,GARCH_11,0.06546783231560724
2006-04-21,SPY,full_sample,GARCH_11,-0.1094326103615058
2006-04-24,SPY,full_sample,GARCH_11,-0.41335514906752463
2006-04-25,SPY,full_sample,GARCH_11,-0.7832709252138584
2006-04-26,SPY,full_sample,GARCH_11,-0.10548380088842917
2006-04-27,SPY,full_sample,GARCH_11,0.6341280509910071
2006-04-28,SPY,full_sample,GARCH_11,0.4021841110462034
2006-05-01,SPY,full_sample,GARCH_11,-1.5320426201374249
2006-05-02,SPY,full_sample,GARCH_11,1.0267564136665879
2006-05-03,SPY,full_sample,GARCH_11,-0.7116675621105142
2006-05-04,SPY,full_sample,GARCH_11,0.4152396190708882
2006-05-05,SPY,full_sample,GARCH_11,1.2569536440352376
2006-05-08,SPY,full_sample,GARCH_11,-0.3227157620460553
2006-05-09,SPY,full_sample,GARCH_11,0.1666224018411094
2006-05-10,SPY,full_sample,GARCH_11,-0.23399539772079672
2006-05-11,SPY,full_sample,GARCH_11,-2.2017819988644707
2006-05-12,SPY,full_sample,GARCH_11,-1.9872631824048348
2006-05-15,SPY,full_sample,GARCH_11,0.13589218062665825
2006-05-16,SPY,full_sample,GARCH_11,-0.3045281899094107
2006-05-17,SPY,full_sample,GARCH_11,-2.6783319242787154
2006-05-18,SPY,full_sample,GARCH_11,-0.6192240774953458
2006-05-19,SPY,full_sample,GARCH_11,0.6518912918566173
2006-05-22,SPY,full_sample,GARCH_11,-0.9331197619509697
2006-05-23,SPY,full_sample,GARCH_11,-0.9302356969686949
2006-05-24,SPY,full_sample,GARCH_11,0.7673478151280446
2006-05-25,SPY,full_sample,GARCH_11,1.2558255844690818
2006-05-26,SPY,full_sample,GARCH_11,0.44418051861685404
2006-05-30,SPY,full_sample,GARCH_11,-2.0758262541694954
2006-05-31,SPY,full_sample,GARCH_11,0.9698520054367668
2006-06-01,SPY,full_sample,GARCH_11,0.816233111254808
2006-06-02,SPY,full_sample,GARCH_11,0.11401800789483989
2006-06-05,SPY,full_sample,GARCH_11,-1.5641921926033227
2006-06-06,SPY,full_sample,GARCH_11,-0.31210158272587546
2006-06-07,SPY,full_sample,GARCH_11,-0.8192699490025855
2006-06-08,SPY,full_sample,GARCH_11,-0.17501400707296494
2006-06-09,SPY,full_sample,GARCH_11,-0.4207477500821839
2006-06-12,SPY,full_sample,GARCH_11,-1.2600657473533408
2006-06-13,SPY,full_sample,GARCH_11,-1.2960026955529362
2006-06-14,SPY,full_sample,GARCH_11,0.6749023620386813
2006-06-15,SPY,full_sample,GARCH_11,2.033057203924109
2006-06-16,SPY,full_sample,GARCH_11,-0.7216972281227283
2006-06-19,SPY,full_sample,GARCH_11,-0.7880450497075779
2006-06-20,SPY,full_sample,GARCH_11,0.22580062027858394
2006-06-21,SPY,full_sample,GARCH_11,0.6159935528028093
2006-06-22,SPY,full_sample,GARCH_11,-0.518662260682491
2006-06-23,SPY,full_sample,GARCH_11,-0.10742404697835016
2006-06-26,SPY,full_sample,GARCH_11,0.36978291161945387
2006-06-27,SPY,full_sample,GARCH_11,-1.050388156798332
2006-06-28,SPY,full_sample,GARCH_11,0.6334330992809095
2006-06-29,SPY,full_sample,GARCH_11,2.1164633351685374
2006-06-30,SPY,full_sample,GARCH_11,-0.07841920743717364
2006-07-03,SPY,full_sample,GARCH_11,0.3152996383508448
2006-07-05,SPY,full_sample,GARCH_11,-0.6869318716230965
2006-07-06,SPY,full_sample,GARCH_11,0.21161009288863417
2006-07-07,SPY,full_sample,GARCH_11,-0.8211335263175012
2006-07-10,SPY,full_sample,GARCH_11,0.11013347529759754
2006-07-11,SPY,full_sample,GARCH_11,0.40743590322874407
2006-07-12,SPY,full_sample,GARCH_11,-1.4030574107574
2006-07-13,SPY,full_sample,GARCH_11,-1.9753363328465352
2006-07-14,SPY,full_sample,GARCH_11,-0.47740116285348466
2006-07-17,SPY,full_sample,GARCH_11,-0.2440576965360581
2006-07-18,SPY,full_sample,GARCH_11,0.45148598502580045
2006-07-19,SPY,full_sample,GARCH_11,1.435696384095352
2006-07-20,SPY,full_sample,GARCH_11,-0.8181467541030841
2006-07-21,SPY,full_sample,GARCH_11,-0.8485060178010436
2006-07-24,SPY,full_sample,GARCH_11,1.8385703905860642
2006-07-25,SPY,full_sample,GARCH_11,0.2538208334066632
2006-07-26,SPY,full_sample,GARCH_11,0.04359713330579681
2006-07-27,SPY,full_sample,GARCH_11,-0.19380532497879
2006-07-28,SPY,full_sample,GARCH_11,0.9913669375082553
2006-07-31,SPY,full_sample,GARCH_11,-0.20875819990820377
2006-08-01,SPY,full_sample,GARCH_11,-0.6627869902656909
2006-08-02,SPY,full_sample,GARCH_11,0.6752498101065001
2006-08-03,SPY,full_sample,GARCH_11,0.20628639104160215
2006-08-04,SPY,full_sample,GARCH_11,-0.3225701190107208
2006-08-07,SPY,full_sample,GARCH_11,-0.4150922712097528
2006-08-08,SPY,full_sample,GARCH_11,-0.6264269965953703
2006-08-09,SPY,full_sample,GARCH_11,-0.5776815264817996
2006-08-10,SPY,full_sample,GARCH_11,0.2981354524305532
2006-08-11,SPY,full_sample,GARCH_11,-0.5340464676151316
2006-08-14,SPY,full_sample,GARCH_11,-0.017330317184039545
2006-08-15,SPY,full_sample,GARCH_11,1.6722114366988674
2006-08-16,SPY,full_sample,GARCH_11,1.0216639718742464
2006-08-17,SPY,full_sample,GARCH_11,0.22340409823060467
2006-08-18,SPY,full_sample,GARCH_11,0.5898969872115002
2006-08-21,SPY,full_sample,GARCH_11,-0.7534352418935439
2006-08-22,SPY,full_sample,GARCH_11,-0.14362575713372638
