asset,period,n_obs,start_date,end_date,mean_target_squared_return,median_target_squared_return,std_target_squared_return,mean_return_t,mean_squared_return_t,negative_return_share
KBE,crisis,504,2007-07-02,2009-06-30,21.487942525185087,4.429266368878034,47.96689458921855,-0.20713077238645838,21.489624051589452,0.5496031746031746
KBE,post_crisis,880,2009-07-01,2012-12-27,3.5512013637405553,0.9678857194810375,7.57622293983305,0.03635125068263739,3.5511790436226187,0.4943181818181818
KBE,pre_crisis,341,2006-02-22,2007-06-29,0.5976938956845608,0.1667695771740061,1.2614309075369199,0.03264968765355245,0.6064210868131309,0.4780058651026393
SPY,crisis,504,2007-07-02,2009-06-30,4.861622112693699,1.005109369798629,13.73764293784214,-0.08842811490714589,4.8628916952601395,0.4880952380952381
SPY,post_crisis,880,2009-07-01,2012-12-27,1.3100887978011189,0.29582851184776404,2.989440394606473,0.057242617472722454,1.308940256526435,0.43636363636363634
SPY,pre_crisis,341,2006-02-22,2007-06-29,0.450767126145784,0.11302998483410302,1.0884223582486394,0.05402626680795553,0.44946602100155575,0.4310850439882698
XLF,crisis,504,2007-07-02,2009-06-30,18.360091584501824,3.507010222865423,39.650851462132266,-0.2053561740938563,18.36085103386143,0.5376984126984127
XLF,post_crisis,880,2009-07-01,2012-12-27,2.872589686305472,0.7103460017108632,6.38683739308876,0.04124165007482665,2.872254172326844,0.4715909090909091
XLF,pre_crisis,341,2006-02-22,2007-06-29,0.6605885282073074,0.19122484003636162,1.612978271380456,0.04301611261977344,0.6686999771291932,0.45454545454545453
