scope,trained_asset,asset,model,rmse,mae,qlike,mean_prediction,mean_actual,n_obs,best_by_rmse,best_by_mae,best_by_qlike
asset_specific,KBE,KBE,GradientBoosting,32.08798620514904,9.70231089752794,2913407.9402317996,1.0326702073060552,10.083078202879316,1384,False,False,False
asset_specific,KBE,KBE,LightGBM,32.28035306488099,9.893989046112779,223022024.10990998,0.528526369018635,10.083078202879316,1384,False,False,False
asset_specific,KBE,KBE,Naive_Rolling22,28.29678877510828,10.770663605701104,2.699102703769853,10.083109316787183,10.083078202879316,1384,True,False,True
asset_specific,KBE,KBE,RandomForest,32.01749139167915,9.60840698971859,8.794368491814092,1.0625125454145574,10.083078202879316,1384,False,True,False
asset_specific,KBE,KBE,Ridge,31.824661855871348,10.251610112812514,666166540.6950388,2.074709582892931,10.083078202879316,1384,False,False,False
asset_specific,KBE,KBE,XGBoost,31.982210260163598,9.664682352971015,25752880.86273174,1.2651292764809596,10.083078202879316,1384,False,False,False
asset_specific,SPY,SPY,GradientBoosting,8.95297469498515,2.459907647047897,3.2068950334401327,0.6248727203970242,2.6034217390625787,1384,False,False,False
asset_specific,SPY,SPY,LightGBM,8.975544341707318,2.4730095751077474,3291725.3823913205,0.5797330853556074,2.6034217390625787,1384,False,False,False
asset_specific,SPY,SPY,Naive_Rolling22,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6061125362364432,2.6034217390625787,1384,True,False,True
asset_specific,SPY,SPY,RandomForest,8.96013599182149,2.455576458836809,3.1115849667492506,0.6507195037949491,2.6034217390625787,1384,False,True,False
asset_specific,SPY,SPY,Ridge,9.043802732788496,2.5058654709026382,185911578.43495363,0.28223715111328906,2.6034217390625787,1384,False,False,False
asset_specific,SPY,SPY,XGBoost,8.956906383875426,2.4699032433690467,19785.73885771255,0.6014209879513891,2.6034217390625787,1384,False,False,False
asset_specific,XLF,XLF,GradientBoosting,26.548463416994597,8.191681678694318,55891210.93155626,1.0433958901914653,8.51254702495501,1384,False,False,False
asset_specific,XLF,XLF,LightGBM,26.613766994114545,8.182831998795116,58611921.8047932,0.8884564302659975,8.51254702495501,1384,False,False,False
asset_specific,XLF,XLF,Naive_Rolling22,23.139536823444534,8.924043838978346,2.498891334393712,8.513976648351564,8.51254702495501,1384,True,False,True
asset_specific,XLF,XLF,RandomForest,26.526462502732347,8.070817951879086,6.693621154370484,1.1209652112129846,8.51254702495501,1384,False,True,False
asset_specific,XLF,XLF,Ridge,26.915606051040196,8.48625421083327,799649954.352725,0.19133877485386125,8.51254702495501,1384,False,False,False
asset_specific,XLF,XLF,XGBoost,26.47207273819094,8.150518684018865,23777318.76407329,1.1199637976631915,8.51254702495501,1384,False,False,False
pooled,ALL,KBE,GradientBoosting,32.00885584886322,9.633939884215584,376945.558076394,1.053109612350987,10.083078202879316,1384,False,False,False
pooled,ALL,KBE,LightGBM,32.10554618683694,9.723894766299756,113264454.22645901,0.879406113754032,10.083078202879316,1384,False,False,False
pooled,ALL,KBE,Naive_Rolling22,28.29678877510828,10.770663605701104,2.699102703769853,10.083109316787183,10.083078202879316,1384,True,False,True
pooled,ALL,KBE,RandomForest,31.96127035641419,9.563502793301422,8.066285181781437,1.1725221098577332,10.083078202879316,1384,False,True,False
pooled,ALL,KBE,Ridge,32.36500624634225,10.043461138646807,947594311.4483509,0.1990987761337429,10.083078202879316,1384,False,False,False
pooled,ALL,KBE,XGBoost,31.89542401747673,9.580907226017965,387079.89335276996,1.3329112678416162,10.083078202879316,1384,False,False,False
pooled,ALL,SPY,GradientBoosting,8.865776635993317,2.470893195233751,468158.8555718888,0.8146300962290007,2.6034217390625787,1384,False,False,False
pooled,ALL,SPY,LightGBM,8.926328668955609,2.501574880529148,18725344.327338412,0.7197242600977479,2.6034217390625787,1384,False,False,False
pooled,ALL,SPY,Naive_Rolling22,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6061125362364432,2.6034217390625787,1384,True,False,True
pooled,ALL,SPY,RandomForest,8.846930815570618,2.4674016060278627,2.2157794581055468,0.9149078954247755,2.6034217390625787,1384,False,True,False
pooled,ALL,SPY,Ridge,9.09487742778626,2.544097719349492,173309264.90278274,0.3904958078302688,2.6034217390625787,1384,False,False,False
pooled,ALL,SPY,XGBoost,8.792041810224822,2.478476759858878,105704.75107760297,0.9476920807228261,2.6034217390625787,1384,False,False,False
pooled,ALL,XLF,GradientBoosting,26.56005535758189,8.113103273567514,72831.60220659534,0.9972186886935295,8.51254702495501,1384,False,False,False
pooled,ALL,XLF,LightGBM,26.665028813254228,8.20264589512607,105827055.6860614,0.8229468855502448,8.51254702495501,1384,False,False,False
pooled,ALL,XLF,Naive_Rolling22,23.139536823444534,8.924043838978346,2.498891334393712,8.513976648351564,8.51254702495501,1384,True,False,True
pooled,ALL,XLF,RandomForest,26.50861980490685,8.069795926174132,6.948640383594061,1.1147468786100272,8.51254702495501,1384,False,True,False
pooled,ALL,XLF,Ridge,26.902074343393814,8.466966039006866,769986377.8396404,0.24473650556565774,8.51254702495501,1384,False,False,False
pooled,ALL,XLF,XGBoost,26.460264486712557,8.07603661892865,810996.9736553336,1.2115067812197098,8.51254702495501,1384,False,False,False
