scope,trained_asset,asset,period,model,rmse,mae,qlike,mean_prediction,mean_actual,n_obs,best_by_rmse,best_by_mae,best_by_qlike
asset_specific,KBE,KBE,crisis,GradientBoosting,52.12021815815317,20.866954142659267,4552535.75837095,1.0304339022932574,21.487942525185087,504,False,False,False
asset_specific,KBE,KBE,crisis,LightGBM,52.38889574623697,21.241195650823993,499506042.2587431,0.42953513620380707,21.487942525185087,504,False,False,False
asset_specific,KBE,KBE,crisis,Naive_Rolling22,45.902520700492516,23.27971136370759,3.7660379573406684,21.3955718768798,21.487942525185087,504,True,False,True
asset_specific,KBE,KBE,crisis,RandomForest,52.00954167049647,20.713877682951498,18.182199010430235,1.201041697248282,21.487942525185087,504,False,True,False
asset_specific,KBE,KBE,crisis,Ridge,51.598818284648914,21.668382010052483,1595002122.7185202,2.7656254520756,21.487942525185087,504,False,False,False
asset_specific,KBE,KBE,crisis,XGBoost,51.96298355589867,20.742565227862823,65108327.934832305,1.3555300904712984,21.487942525185087,504,False,False,False
asset_specific,KBE,KBE,post_crisis,GradientBoosting,7.969796781741558,3.3080152207709053,1974634.7352975584,1.0339510001770214,3.5512013637405553,880,False,False,False
asset_specific,KBE,KBE,post_crisis,LightGBM,8.179849697284325,3.395134354323631,64672086.44285099,0.5852213478125818,3.5512013637405553,880,False,False,False
asset_specific,KBE,KBE,post_crisis,Naive_Rolling22,7.24814678041547,3.606390798842841,2.0880397858156594,3.604153486915957,3.5512013637405553,880,True,False,True
asset_specific,KBE,KBE,post_crisis,RandomForest,7.937938166562801,3.248001047230652,3.4177019220612097,0.9831731220916061,3.5512013637405553,880,False,True,False
asset_specific,KBE,KBE,post_crisis,Ridge,8.247521743566242,3.7129134807568933,134197070.99068153,1.679003221451948,3.5512013637405553,880,False,False,False
asset_specific,KBE,KBE,post_crisis,XGBoost,7.888733144492609,3.32007670644207,3212942.994165056,1.2133542648319475,3.5512013637405553,880,False,False,False
asset_specific,SPY,SPY,crisis,GradientBoosting,14.283230808384628,4.58426492431762,6.056948081794019,0.7150875826561133,4.861622112693699,504,False,False,False
asset_specific,SPY,SPY,crisis,LightGBM,14.31749642497145,4.607071747751399,7575120.386527304,0.6408909377850023,4.861622112693699,504,False,False,False
asset_specific,SPY,SPY,crisis,Naive_Rolling22,12.754787459163078,5.129925636602693,2.1795255364942627,4.846290414297171,4.861622112693699,504,True,False,True
asset_specific,SPY,SPY,crisis,RandomForest,14.299692747295905,4.57378343647974,5.957707776547709,0.7321925380525878,4.861622112693699,504,False,True,False
asset_specific,SPY,SPY,crisis,Ridge,14.416887531622791,4.693273091615961,393709869.3970064,0.3050290036169436,4.861622112693699,504,False,False,False
asset_specific,SPY,SPY,crisis,XGBoost,14.288449648860725,4.607647308033608,7.982715127837282,0.6744054210268788,4.861622112693699,504,False,False,False
asset_specific,SPY,SPY,post_crisis,GradientBoosting,3.0365542407811406,1.2432302973388734,1.5745919239283617,0.5732042083759096,1.3100887978011189,880,False,False,False
asset_specific,SPY,SPY,post_crisis,LightGBM,3.048895781337975,1.2507739671391096,838508.2436588939,0.5447063153278631,1.3100887978011189,880,False,False,False
asset_specific,SPY,SPY,post_crisis,Naive_Rolling22,2.8786541514463466,1.4285681413996656,1.1096659888870948,1.3231015697107544,1.3100887978011189,880,True,False,True
asset_specific,SPY,SPY,post_crisis,RandomForest,3.025380519387009,1.2424215534594942,1.481532812046497,0.6040576750837563,1.3100887978011189,880,False,True,False
asset_specific,SPY,SPY,post_crisis,Ridge,3.097498898926372,1.2530774699486442,66899829.97486888,0.2691836355884688,1.3100887978011189,880,False,False,False
asset_specific,SPY,SPY,post_crisis,XGBoost,3.040724746950906,1.2455589154247984,31112.999193920154,0.5596208126445177,1.3100887978011189,880,False,False,False
asset_specific,XLF,XLF,crisis,GradientBoosting,43.117821131932715,17.711066112501115,131832505.49167491,1.1999175211300697,18.360091584501824,504,False,False,False
asset_specific,XLF,XLF,crisis,LightGBM,43.214079597408826,17.750754261155567,140906965.54907432,1.0119955766345283,18.360091584501824,504,False,False,False
asset_specific,XLF,XLF,crisis,Naive_Rolling22,37.4845038499492,19.26643169204656,3.578101358091013,18.279771640029576,18.360091584501824,504,True,False,True
asset_specific,XLF,XLF,crisis,RandomForest,43.08795709297991,17.546048162178398,13.795002418774622,1.311663288682042,18.360091584501824,504,False,True,False
asset_specific,XLF,XLF,crisis,Ridge,43.65444535705456,18.335557804349193,1814676320.0986257,0.051875924760893345,18.360091584501824,504,False,False,False
asset_specific,XLF,XLF,crisis,XGBoost,42.995569111011385,17.619701744223352,58972593.00399065,1.3708928484381633,18.360091584501824,504,False,False,False
asset_specific,XLF,XLF,post_crisis,GradientBoosting,6.611139324578643,2.7396705938776944,12397560.410761038,0.9537516833811739,2.872589686305472,880,False,False,False
asset_specific,XLF,XLF,post_crisis,LightGBM,6.663911042678033,2.7030219758068617,11479305.842159467,0.8177021918912933,2.872589686305472,880,False,False,False
asset_specific,XLF,XLF,post_crisis,Naive_Rolling22,6.11277099980882,3.000676250402914,1.8807983208216208,2.9208395167541528,2.872589686305472,880,True,False,True
asset_specific,XLF,XLF,post_crisis,RandomForest,6.583703646197924,2.644095195071296,2.62646643021175,1.0117472213897973,2.872589686305472,880,False,True,False
asset_specific,XLF,XLF,post_crisis,Ridge,6.921676182425364,2.8452894254559675,218316672.15280005,0.2712129526343792,2.872589686305472,880,False,False,False
asset_specific,XLF,XLF,post_crisis,XGBoost,6.585331623026611,2.7272592949926593,3620025.335756978,0.9762498867647984,2.872589686305472,880,False,False,False
pooled,ALL,KBE,crisis,GradientBoosting,51.999311695634034,20.736853534864498,56908.41487591382,1.2388325175657546,21.487942525185087,504,False,False,False
pooled,ALL,KBE,crisis,LightGBM,52.141238301702266,20.92525245125157,263235822.13262028,0.9442282906906964,21.487942525185087,504,False,False,False
pooled,ALL,KBE,crisis,Naive_Rolling22,45.902520700492516,23.27971136370759,3.7660379573406684,21.3955718768798,21.487942525185087,504,True,False,True
pooled,ALL,KBE,crisis,RandomForest,51.92603280235074,20.61915034472639,16.428334243343844,1.3705039808093007,21.487942525185087,504,False,False,False
pooled,ALL,KBE,crisis,Ridge,52.50617077960765,21.454105932400115,2113607957.6082284,0.09123064455023623,21.487942525185087,504,False,False,False
pooled,ALL,KBE,crisis,XGBoost,51.833243106884886,20.591531660437596,19.23456360940545,1.6017704729401019,21.487942525185087,504,False,True,False
pooled,ALL,KBE,post_crisis,GradientBoosting,7.921532947766482,3.274998429753025,560239.5582730325,0.9467410393643475,3.5512013637405553,880,False,False,False
pooled,ALL,KBE,post_crisis,LightGBM,8.002206802011111,3.308571728554622,27371761.69838484,0.8422806851448518,3.5512013637405553,880,False,False,False
pooled,ALL,KBE,post_crisis,Naive_Rolling22,7.24814678041547,3.606390798842841,2.0880397858156594,3.604153486915957,3.5512013637405553,880,True,False,True
pooled,ALL,KBE,post_crisis,RandomForest,7.894608793608206,3.23163192293985,3.2771116283411494,1.059132492858199,3.5512013637405553,880,False,True,False
pooled,ALL,KBE,post_crisis,Ridge,8.274729200351928,3.5082736658608216,279786495.9204211,0.26087779694975133,3.5512013637405553,880,False,False,False
pooled,ALL,KBE,post_crisis,XGBoost,7.824707918727212,3.2748223226685402,608760.0888411074,1.178928268557938,3.5512013637405553,880,False,False,False
pooled,ALL,SPY,crisis,GradientBoosting,14.165342855945834,4.585830132512891,1248188.3327734356,0.9638336884157768,4.861622112693699,504,False,False,False
pooled,ALL,SPY,crisis,LightGBM,14.250846566867784,4.65021955622164,35507288.09263347,0.8158298413772109,4.861622112693699,504,False,False,False
pooled,ALL,SPY,crisis,Naive_Rolling22,12.754787459163078,5.129925636602693,2.1795255364942627,4.846290414297171,4.861622112693699,504,True,False,True
pooled,ALL,SPY,crisis,RandomForest,14.139080894141493,4.55212596650505,4.015687854918452,1.0960529353754012,4.861622112693699,504,False,True,False
pooled,ALL,SPY,crisis,Ridge,14.50512900776706,4.7657954635080815,393080173.6048984,0.32311967280204806,4.861622112693699,504,False,False,False
pooled,ALL,SPY,crisis,XGBoost,14.052843256739418,4.580419965320119,237588.15931796184,1.1890371936208488,4.861622112693699,504,False,False,False
pooled,ALL,SPY,post_crisis,GradientBoosting,2.9492034192519267,1.2596111311556974,21414.700447366227,0.7291771297947564,1.3100887978011189,880,False,True,False
pooled,ALL,SPY,post_crisis,LightGBM,3.0001043476007148,1.2709874753598112,9113867.443578506,0.6646819726376918,1.3100887978011189,880,False,False,False
pooled,ALL,SPY,post_crisis,Naive_Rolling22,2.8786541514463466,1.4285681413996656,1.1096659888870948,1.3231015697107544,1.3100887978011189,880,True,False,True
pooled,ALL,SPY,post_crisis,RandomForest,2.932325547073884,1.2734231086636556,1.1849228308399729,0.8111611907257807,1.3100887978011189,880,False,False,False
pooled,ALL,SPY,post_crisis,Ridge,3.0967479338861152,1.2716708295132084,47440471.73702559,0.4290839578918862,1.3100887978011189,880,False,False,False
pooled,ALL,SPY,post_crisis,XGBoost,2.9100272314246034,1.274636560367441,30171.52635812473,0.8094671524266858,1.3100887978011189,880,False,False,False
pooled,ALL,XLF,crisis,GradientBoosting,43.142409289090104,17.671593852073755,22.569211480642803,1.191866224839718,18.360091584501824,504,False,False,False
pooled,ALL,XLF,crisis,LightGBM,43.30051193846533,17.835736200273313,257180977.20965028,0.892232826797211,18.360091584501824,504,False,False,False
pooled,ALL,XLF,crisis,Naive_Rolling22,37.4845038499492,19.26643169204656,3.578101358091013,18.279771640029576,18.360091584501824,504,True,False,True
pooled,ALL,XLF,crisis,RandomForest,43.061082265377394,17.55203486485427,14.353608519508589,1.3389924399330206,18.360091584501824,504,False,False,False
pooled,ALL,XLF,crisis,Ridge,43.643415467489966,18.325268261910075,1776841949.8402228,0.09632548414423792,18.360091584501824,504,False,False,False
pooled,ALL,XLF,crisis,XGBoost,42.99429960229658,17.546815897278435,18.276853684187852,1.503074142335367,18.360091584501824,504,False,True,False
pooled,ALL,XLF,post_crisis,GradientBoosting,6.592468381402916,2.638695033150303,114531.32110379738,0.8857387361734398,2.872589686305472,880,False,True,False
pooled,ALL,XLF,post_crisis,LightGBM,6.664865618525338,2.6855123567235575,19142536.995278686,0.7832649373815278,2.872589686305472,880,False,False,False
pooled,ALL,XLF,post_crisis,Naive_Rolling22,6.11277099980882,3.000676250402914,1.8807983208216208,2.9208395167541528,2.872589686305472,880,True,False,True
