asset,period,model,status,error,mu,omega,alpha_1,gamma_1,beta_1,nu,alpha_plus_beta,gjr_approx_persistence,aic,bic,loglikelihood,n_obs
SPY,full_sample,GARCH_11,success,,0.09052361241165612,0.012140259166686965,0.10089622048114014,,0.8991037795188599,5.2762518891563515,1.0,,5248.461168135159,5275.913815145463,-2619.2305840675795,1791
SPY,full_sample,GJR_GARCH_11,success,,0.06144283308938031,0.01398349035927282,0.0,0.17803279286439458,0.9018745350616431,5.880045408587383,0.9018745350616431,0.9908909314938403,5180.690423801139,5213.633600213504,-2584.3452119005697,1791
SPY,full_sample,EGARCH_11,success,,0.06128597408164911,0.0007394710879604971,0.11903209083515894,-0.16955072630317342,0.9842594801094476,5.870455437609829,1.1032915709446065,,5171.211304385915,5204.15448079828,-2579.6056521929577,1791
SPY,pre_crisis,GARCH_11,success,,0.08902996580528844,0.018469374996509205,0.06323595464307925,,0.8992952196832475,4.590452495162601,0.9625311743263268,,758.5005931143985,778.5323589124072,-374.25029655719925,406
SPY,pre_crisis,GJR_GARCH_11,success,,0.07256026384243162,0.028663342720618514,0.0,0.17799436528644577,0.8440578664817089,4.929360897487222,0.8440578664817089,0.9330550491249318,744.6779195215007,768.7160384791111,-366.33895976075036,406
SPY,pre_crisis,EGARCH_11,success,,0.0625589174595317,-0.0864399353302357,-0.02253507841935068,-0.26508826465124574,0.9256507819326597,5.8986217618697925,0.903115703513309,,729.8157339460352,753.8538529036456,-358.9078669730176,406
SPY,crisis,GARCH_11,success,,-0.01607783358669403,0.05978896976463576,0.09766771178740588,,0.8896184386623388,8.057580736862212,0.9872861504497447,,1990.6158389547966,2011.7287202951534,-990.3079194773983,504
SPY,crisis,GJR_GARCH_11,success,,-0.06588058142288339,0.042931425367052176,0.0,0.15747935874945654,0.9107054441312532,10.644629445517115,0.9107054441312532,0.9894451235059815,1973.8247045088403,1999.1601621172686,-980.9123522544202,504
SPY,crisis,EGARCH_11,success,,-0.0900253879130256,0.019218734309711143,0.09302184489812447,-0.15746867497845837,0.9834023223860354,10.977344945692328,1.07642416728416,,1969.6662442804586,1995.0017018888868,-978.8331221402293,504
SPY,post_crisis,GARCH_11,success,,0.11060877030129113,0.02869871541054038,0.10809530451121531,,0.8749009818895497,5.382014720172283,0.982996286400765,,2499.1467693522286,2523.0520574819093,-1244.5733846761143,881
SPY,post_crisis,GJR_GARCH_11,success,,0.07777172190464998,0.03351177373933642,2.8682913390157544e-10,0.21985500847671918,0.8625080218980538,6.224371850104067,0.8625080221848829,0.9724355264232425,2461.9600542745466,2490.6464000301635,-1224.9800271372733,881
SPY,post_crisis,EGARCH_11,success,,0.0716598906032724,-0.0007516822000197152,0.13678243963818756,-0.2254326740519026,0.9567383503385026,6.187987761310861,1.09352078997669,,2452.679610382301,2481.3659561379177,-1220.3398051911504,881
XLF,full_sample,GARCH_11,success,,0.0635438365009064,0.014940413873814264,0.09226404102453753,,0.9077359589747174,6.244796798231555,0.9999999999992549,,6787.700244248814,6815.1528912591175,-3388.850122124407,1791
