asset,period,model,parameter,estimate,std_error,t_stat,p_value
KBE,full_sample,EGARCH_11,beta[1],0.9936279332819017,0.0026068363355556414,381.1623766821986,0.0
KBE,full_sample,EGARCH_11,nu,6.5102417952366745,0.9354467317872976,6.959500283675133,3.4148183018396194e-12
KBE,pre_crisis,GARCH_11,mu,0.046079188940232545,0.03130106230383597,1.4721285972005336,0.1409861544109107
KBE,pre_crisis,GARCH_11,omega,0.01347435543346769,0.010748187384440947,1.2536397953922107,0.2099729597728287
KBE,pre_crisis,GARCH_11,alpha[1],0.04636534663695655,0.018517715537336447,2.5038372872437837,0.012285451923769366
KBE,pre_crisis,GARCH_11,beta[1],0.9351711488596294,0.023213510774096592,40.28564046000163,0.0
KBE,pre_crisis,GARCH_11,nu,4.313979890178569,0.8961415063316,4.8139494261771905,1.4797627129867473e-06
KBE,pre_crisis,GJR_GARCH_11,mu,0.035070875258775266,0.03179648139988465,1.1029797548260323,0.27003595706050765
KBE,pre_crisis,GJR_GARCH_11,omega,0.014601082536475359,0.01123579811177852,1.2995144974320072,0.19376742147064419
KBE,pre_crisis,GJR_GARCH_11,alpha[1],0.002078154771124221,0.02224370132697259,0.09342666225266484,0.9255646097334995
KBE,pre_crisis,GJR_GARCH_11,gamma[1],0.08262430747212689,0.04089758051729884,2.020273728348759,0.04335500232149507
KBE,pre_crisis,GJR_GARCH_11,beta[1],0.9365002211943869,0.029104750167578502,32.17688575927409,3.7166557764686187e-227
KBE,pre_crisis,GJR_GARCH_11,nu,4.490271090343765,0.9559948378216651,4.696961649474302,2.6406000677909336e-06
KBE,pre_crisis,EGARCH_11,mu,0.028010135597301738,0.032365722484115796,0.8654259335952825,0.3868050520652603
KBE,pre_crisis,EGARCH_11,omega,-0.01249704425312338,0.01199695595388808,-1.0416845990897572,0.29755793158479504
KBE,pre_crisis,EGARCH_11,alpha[1],0.07206081170654292,0.0496181267891093,1.452308185934169,0.1464159323728586
KBE,pre_crisis,EGARCH_11,gamma[1],-0.12019432077459302,0.053481916231836575,-2.2473824657584736,0.02461559462594078
KBE,pre_crisis,EGARCH_11,beta[1],0.9679443687624406,0.01635238476831331,59.19285672864464,0.0
KBE,pre_crisis,EGARCH_11,nu,4.645413121536359,1.000820991055782,4.641602407475326,3.4571760562716707e-06
KBE,crisis,GARCH_11,mu,-0.2514533010180312,0.11644143073893903,-2.1594830931078812,0.030812707594945546
KBE,crisis,GARCH_11,omega,0.20881582383313185,0.12556320017669295,1.663033624017909,0.09630570507855626
KBE,crisis,GARCH_11,alpha[1],0.15060756935380293,0.03542067805865862,4.2519674271731445,2.1190068610820535e-05
KBE,crisis,GARCH_11,beta[1],0.8493924306461971,0.03175365054500469,26.749441908808148,1.2533759997282415e-157
KBE,crisis,GARCH_11,nu,6.754684955964281,1.7213815391246532,3.923990586885888,8.709413981368865e-05
KBE,crisis,GJR_GARCH_11,mu,-0.29528574083726083,0.11278875540768955,-2.6180423728403803,0.008843582283052964
KBE,crisis,GJR_GARCH_11,omega,0.133730621640104,0.12675896750164856,1.0549992972951974,0.2914256461284809
KBE,crisis,GJR_GARCH_11,alpha[1],0.029190044832861417,0.03634031369831862,0.8032414104948129,0.4218352148384372
KBE,crisis,GJR_GARCH_11,gamma[1],0.17271570457731755,0.046741207728866495,3.695148520320573,0.00021975829117962652
KBE,crisis,GJR_GARCH_11,beta[1],0.8844521030090288,0.03779020122214839,23.404270800512748,3.866397403193632e-121
KBE,crisis,GJR_GARCH_11,nu,8.745840876823022,2.455497169436601,3.5617393437393794,0.0003684060458766327
KBE,crisis,EGARCH_11,mu,-0.3755624115689217,0.11171645533182857,-3.361746579350357,0.0007745117002781807
KBE,crisis,EGARCH_11,omega,0.04553591491250261,0.026049726546096694,1.748038115944282,0.08045742750870248
KBE,crisis,EGARCH_11,alpha[1],0.2087414338483066,0.05905105732872461,3.5349313507849263,0.00040788111005784106
KBE,crisis,EGARCH_11,gamma[1],-0.1499158693090951,0.03477568328252028,-4.310939574965853,1.6256232705452094e-05
KBE,crisis,EGARCH_11,beta[1],0.9874467794236634,0.008130843173186677,121.44457326147871,0.0
KBE,crisis,EGARCH_11,nu,7.4943204659043134,2.137049386383897,3.5068541296490388,0.00045343764126025584
KBE,post_crisis,GARCH_11,mu,0.057839662910016694,0.047184803664611946,1.2258112446782472,0.22026971466420442
KBE,post_crisis,GARCH_11,omega,0.03306652353989815,0.019966437191952693,1.6561053543005326,0.09770048524080839
KBE,post_crisis,GARCH_11,alpha[1],0.0728002636654332,0.01864560697771614,3.9044190812580535,9.445198744972956e-05
