Asset,Model,OOS RMSE,OOS MAE,OOS QLIKE
SPY,"GARCH(1,1)",11.269070084446922,4.272427690508784,1.933974176852338
SPY,"GARCH(1,2)",11.269120037341082,4.27288464327889,1.935408480183114
SPY,"GARCH(2,1)",11.155522244046416,4.255671428607465,1.9227965729318424
SPY,"GJR-GARCH(1,1)",10.944316101412351,4.103575466705598,1.9035016753682106
SPY,"EGARCH(1,1)",10.826531033046933,3.7413909742843106,1.949340848609772
XLF,"GARCH(1,1)",33.26273274437652,16.01721480749926,3.2747802253561824
XLF,"GARCH(1,2)",33.26275916380115,16.017231868315505,3.274781033837895
XLF,"GARCH(2,1)",33.39271205866264,16.046528233093547,3.273957472412678
XLF,"GJR-GARCH(1,1)",32.99259371245634,15.996807564123484,3.2294091530625617
XLF,"EGARCH(1,1)",32.659838231785734,15.09065950497603,3.2596005296679187
BKX,"GARCH(1,1)",47.601378114623415,21.503023560781564,3.508733321764139
BKX,"GARCH(1,2)",47.601427673083094,21.50336429160331,3.510240272873329
BKX,"GARCH(2,1)",47.88733208767639,21.585307004645074,3.505848873968856
BKX,"GJR-GARCH(1,1)",47.80161898723557,21.667395967264632,3.4662024474590103
BKX,"EGARCH(1,1)",47.56703105351949,21.370008626710497,3.486973796798454
