Asset,Model,BIC,Persist.,Max p-val,Res.LB p-val,Res.LB^2 p-val
SPY,"GARCH(1,1)",5731.284943764267,0.997725240099894,0.0060786469929666334,0.0635412062112612,0.1423615583892694
SPY,"GARCH(1,2)",5738.891330800662,0.9977254352474026,0.9999999992038481,0.06354174758413508,0.14236494520037926
SPY,"GARCH(2,1)",5718.461213676951,0.9945029571481938,0.6049089832479589,0.044030626809660973,0.8051203228906354
SPY,"GJR-GARCH(1,1)",5662.7317751314895,0.9886582845521885,0.9999999859371287,0.08128600644691891,0.12792547725934114
SPY,"EGARCH(1,1)",5658.800855837336,0.9849115483047248,0.894322936430876,0.026072531559030682,0.05611261037913276
XLF,"GARCH(1,1)",7325.413928782657,1.0000000000000013,0.007741602674579126,0.010709655804128939,0.36953538019404475
XLF,"GARCH(1,2)",7333.0203155457175,1.0000000000022775,1.0,0.010710507401635193,0.3695707281998383
XLF,"GARCH(2,1)",7325.8556693679175,0.9999999999975214,0.08292743883122657,0.007709359003878907,0.822089079759958
XLF,"GJR-GARCH(1,1)",7296.325821286621,0.9976799580520421,0.29849085788500584,0.02487691160425849,0.0885358943619794
XLF,"EGARCH(1,1)",7303.064319116721,0.9927701089293448,0.04700642935326658,0.021218431639952594,0.0023226882014016595
BKX,"GARCH(1,1)",7695.010075111696,0.9999999999933733,0.03414410773403419,0.08738066781725534,0.041867341919465596
BKX,"GARCH(1,2)",7702.6164627576345,1.0000000000153157,1.0,0.08737585411778725,0.041853074220812275
BKX,"GARCH(2,1)",7698.7173514096,1.000000000025122,0.04869983563913491,0.092255697835127,0.3416108685089162
BKX,"GJR-GARCH(1,1)",7674.744443152324,1.0000000000056566,0.05269775329593672,0.21996450258392455,0.12708876371086483
BKX,"EGARCH(1,1)",7677.8052619726195,0.9944803076728937,0.006388384525586284,0.23059589849272819,0.028168038947525717
